,firstname,lastname,gender,birthmonth,birthday,birthyear,course,phonenumber
131,name132,lastname132,Male,9,10,99,BS LM,927 450 3540
132,name133,lastname133,Female,4,18,99,BS CTM,927 150 7228
133,name134,lastname134,Female,5,7,00,BS MGT,  918 995 5243
134,name135,lastname135,Female,10,3,99,BS CTM,927 949 9628
135,name136,lastname136,Male,10,5,00,BS MGT,927 558 1218
136,name137,lastname137,Female,6,5,98,BS ME,  918 191 7948
137,name138,lastname138,Male,2,5,97,BS ITE,918 636 6121
138,name139,lastname139,Male,4,8,99,BS ITE,918 532 3276
139,name140,lastname140,Male,9,2,99,BS ME,927 795 1469
140,name141,lastname141,Male,6,8,98,BS LM,  927 430 8948
141,name142,lastname142,Female,12,3,99,BS LM,  918 659 4663
142,name143,lastname143,Female,11,15,99,BS ME,927 716 8308
143,name144,lastname144,Male,10,14,98,BS ME,917 855 4111
144,name145,lastname145,Male,2,9,01,BS MGT,918 256 2335
145,name146,lastname146,Male,9,11,98,BS MGT,  927 248 8520
146,name147,lastname147,Male,12,6,99,BS LM,  917 856 9506
147,name148,lastname148,Female,11,13,00,BS LM,927 989 2750
148,name149,lastname149,Male,9,18,97,BS MGT,927 124 4294
149,name150,lastname150,Female,8,5,97,BS ME,918 162 5544
150,name151,lastname151,Female,5,17,98,BS LM,  918 469 2092
151,name152,lastname152,Female,3,15,99,BS LM,927 145 1261
152,name153,lastname153,Male,11,2,99,BS ME,927 415 2246
153,name154,lastname154,Female,8,2,99,BS MGT,  918 331 9863
154,name155,lastname155,Female,12,14,99,BS LM,918 649 2584
155,name156,lastname156,Female,4,3,98,BS MGT,918 146 7027
156,name157,lastname157,Male,8,13,97,BS ME,927 475 9634
157,name158,lastname158,Female,1,28,99,BS LM,  927 594 6138
158,name159,lastname159,Female,10,12,98,BS MGT,927 653 5975
159,name160,lastname160,Female,12,25,00,BS CTM,917 137 6557
160,name161,lastname161,Male,1,1,00,BS CTM,917 289 3619
161,name162,lastname162,Male,1,26,00,BS CTM,917 388 6944
162,name163,lastname163,Female,4,17,99,BS ITE,  917 307 3272
163,name164,lastname164,Male,5,25,97,BS ITE,  917 925 9571
164,name165,lastname165,Male,8,12,98,BS MGT,918 281 2519
165,name166,lastname166,Female,2,16,99,BS ME,  918 536 9523
166,name167,lastname167,Female,4,4,00,BS MGT,918 705 3266
167,name168,lastname168,Female,7,5,97,BS ME,927 511 1039
168,name169,lastname169,Female,4,13,98,BS ME,  918 284 3059
169,name170,lastname170,Female,6,9,00,BS ITE,927 797 7430
170,name171,lastname171,Female,8,17,97,BS LM,  918 227 4954
171,name172,lastname172,Female,9,24,00,BS CTM,  917 308 1448
172,name173,lastname173,Female,8,13,98,BS ME,  917 180 6600
173,name174,lastname174,Male,10,19,98,BS ME,  927 185 5392
174,name175,lastname175,Female,6,1,99,BS ME,  917 492 1000
175,name176,lastname176,Female,6,9,99,BS ITE,  927 787 2528
176,name177,lastname177,Male,7,1,01,BS ME,927 614 7614
177,name178,lastname178,Female,6,12,01,BS ITE,917 735 9355
178,name179,lastname179,Male,5,4,98,BS LM,  927 728 7081
179,name180,lastname180,Male,3,22,99,BS ITE,917 257 4982
180,name181,lastname181,Female,3,27,99,BS ME,917 744 6240
181,name182,lastname182,Male,6,2,98,BS CTM,917 502 7471
182,name183,lastname183,Female,6,17,97,BS MGT,918 582 2278
183,name184,lastname184,Female,12,23,98,BS ITE,927 891 4782
184,name185,lastname185,Male,4,18,97,BS ME,  917 248 5615
185,name186,lastname186,Female,11,19,97,BS ME,  918 859 3958
186,name187,lastname187,Male,4,18,01,BS LM,  917 575 5267
187,name188,lastname188,Male,9,2,97,BS ME,918 621 4437
188,name189,lastname189,Female,12,7,00,BS MGT,918 447 8973
189,name190,lastname190,Male,7,6,97,BS MGT,918 409 2087
190,name191,lastname191,Male,5,7,99,BS LM,  918 742 1522
191,name192,lastname192,Male,7,9,99,BS ITE,  917 222 5936
192,name193,lastname193,Female,5,25,97,BS ME,918 730 6896
193,name194,lastname194,Male,9,2,98,BS LM,  917 399 8033
194,name195,lastname195,Female,7,15,01,BS ME,  917 818 9641
195,name196,lastname196,Male,5,6,01,BS ME,  927 486 8768
196,name197,lastname197,Female,10,24,01,BS ME,918 708 8549
197,name198,lastname198,Female,6,15,97,BS LM,927 642 6498
198,name199,lastname199,Female,1,4,99,BS CTM,927 536 3811
199,name200,lastname200,Female,11,13,98,BS MGT,  918 621 7426
200,name201,lastname201,Female,10,27,97,BS MGT,  917 681 9326
201,name202,lastname202,Female,4,15,00,BS MGT,918 341 5085
202,name203,lastname203,Female,3,25,98,BS ME,  918 419 5644
203,name204,lastname204,Male,11,4,97,BS ITE,927 383 5918
204,name205,lastname205,Female,3,12,00,BS MGT,  917 173 4981
205,name206,lastname206,Female,12,19,97,BS ME,917 309 4697
206,name207,lastname207,Male,11,27,00,BS ITE,918 744 5680
207,name208,lastname208,Male,10,20,99,BS CTM,918 314 3702
208,name209,lastname209,Female,3,16,99,BS CTM,917 764 8372
209,name210,lastname210,Female,4,2,98,BS ITE,927 750 7712
210,name211,lastname211,Female,1,26,99,BS MGT,927 744 7095
211,name212,lastname212,Male,11,2,99,BS MGT,  917 600 5892
212,name213,lastname213,Female,8,23,99,BS MGT,  918 482 4436
213,name214,lastname214,Female,6,8,99,BS CTM,  917 229 1656
214,name215,lastname215,Female,11,1,98,BS CTM,917 129 7511
215,name216,lastname216,Female,10,23,99,BS LM,  927 931 6222
216,name217,lastname217,Male,5,2,98,BS ME,917 510 8517
217,name218,lastname218,Female,4,19,01,BS CTM,927 859 9615
218,name219,lastname219,Female,5,28,97,BS ITE,918 883 3812
219,name220,lastname220,Female,3,25,01,BS MGT,927 855 3696
220,name221,lastname221,Male,7,12,01,BS ME,917 869 1592
221,name222,lastname222,Male,9,5,99,BS LM,  927 390 2398
222,name223,lastname223,Male,2,9,97,BS MGT,  918 250 3159
223,name224,lastname224,Female,12,18,01,BS MGT,  917 914 1992
224,name225,lastname225,Male,2,27,98,BS ME,  917 168 1549
225,name226,lastname226,Female,3,12,97,BS LM,  918 812 9824
226,name227,lastname227,Female,10,8,97,BS MGT,918 676 3675
227,name228,lastname228,Female,11,16,99,BS MGT,927 616 9286
228,name229,lastname229,Male,6,11,99,BS LM,927 975 8823
229,name230,lastname230,Female,12,4,97,BS CTM,917 559 2469
230,name231,lastname231,Male,5,22,98,BS ITE,927 597 2823
231,name232,lastname232,Male,4,17,00,BS MGT,  917 418 9979
232,name233,lastname233,Male,6,13,01,BS ME,927 523 4422
233,name234,lastname234,Male,2,6,97,BS CTM,917 911 6706
234,name235,lastname235,Male,7,7,99,BS MGT,918 656 9527
235,name236,lastname236,Male,10,23,98,BS MGT,  917 251 3024
236,name237,lastname237,Male,12,14,98,BS LM,  927 940 8616
237,name238,lastname238,Male,3,4,00,BS CTM,  917 261 3868
238,name239,lastname239,Male,2,5,97,BS LM,  927 976 2990
239,name240,lastname240,Male,4,21,01,BS LM,917 962 2388
240,name241,lastname241,Female,9,7,00,BS CTM,  917 560 3594
241,name242,lastname242,Female,6,1,98,BS ITE,  917 267 6749
242,name243,lastname243,Male,11,19,98,BS CTM,  918 388 9243
243,name244,lastname244,Male,1,1,00,BS CTM,918 418 8388
244,name245,lastname245,Female,3,5,99,BS ME,918 387 4071
245,name246,lastname246,Female,1,26,98,BS CTM,  918 871 2841
246,name247,lastname247,Female,8,3,98,BS MGT,917 242 3611
247,name248,lastname248,Male,3,22,98,BS LM,917 213 2389
248,name249,lastname249,Male,12,9,00,BS ME,  917 548 3044
249,name250,lastname250,Female,5,24,01,BS ME,927 264 6574
250,name251,lastname251,Female,1,9,00,BS CTM,917 582 8763
251,name252,lastname252,Male,12,6,01,BS MGT,  927 800 6849
252,name253,lastname253,Female,4,18,97,BS ME,  918 414 2565
253,name254,lastname254,Female,8,3,97,BS CTM,917 984 6143
254,name255,lastname255,Male,1,6,01,BS ME,  927 234 8693
255,name256,lastname256,Male,12,7,97,BS MGT,918 944 9432
256,name257,lastname257,Female,4,19,97,BS ITE,  917 996 8937
257,name258,lastname258,Female,6,7,01,BS ITE,  917 169 7326
258,name259,lastname259,Male,3,20,99,BS ITE,  927 916 1852
259,name260,lastname260,Male,11,15,00,BS CTM,  917 843 5692
260,name261,lastname261,Male,6,4,97,BS LM,  918 456 7658
261,name262,lastname262,Female,7,26,98,BS CTM,  917 771 4152
262,name263,lastname263,Male,1,1,00,BS MGT,  917 773 4858
263,name264,lastname264,Male,11,1,01,BS ITE,918 108 6505
264,name265,lastname265,Female,11,26,01,BS MGT,918 332 9306
265,name266,lastname266,Female,12,5,97,BS MGT,  917 551 8922
266,name267,lastname267,Male,7,5,99,BS LM,  917 537 9153
267,name268,lastname268,Female,10,21,99,BS ME,  927 373 9092
268,name269,lastname269,Female,10,18,01,BS LM,918 441 7553
269,name270,lastname270,Female,4,24,98,BS ITE,  927 395 8754
270,name271,lastname271,Female,3,25,97,BS ME,  918 351 3825
271,name272,lastname272,Female,7,27,97,BS ITE,  917 275 1598
272,name273,lastname273,Female,8,7,99,BS CTM,927 511 6858
273,name274,lastname274,Female,1,5,97,BS MGT,  917 580 5437
274,name275,lastname275,Male,4,20,98,BS CTM,917 418 9759
275,name276,lastname276,Female,1,12,01,BS ITE,  917 559 3566
276,name277,lastname277,Female,12,24,99,BS LM,  927 416 3898
277,name278,lastname278,Female,2,8,97,BS MGT,  917 735 6446
278,name279,lastname279,Female,10,12,98,BS LM,  927 359 4345
279,name280,lastname280,Female,11,15,00,BS MGT,918 183 9884
280,name281,lastname281,Male,2,12,97,BS MGT,  918 541 2404
281,name282,lastname282,Male,3,23,98,BS MGT,  918 393 1948
282,name283,lastname283,Female,11,3,97,BS ITE,  918 927 3119
283,name284,lastname284,Male,8,13,99,BS CTM,  927 868 4707
284,name285,lastname285,Male,9,17,98,BS CTM,927 419 8095
285,name286,lastname286,Male,12,28,99,BS ITE,927 907 8179
286,name287,lastname287,Male,2,18,98,BS CTM,917 992 5274
287,name288,lastname288,Female,4,4,01,BS ITE,917 527 6893
288,name289,lastname289,Male,10,15,97,BS ME,  917 756 9357
289,name290,lastname290,Female,7,8,97,BS ME,  918 927 4291
290,name291,lastname291,Female,12,27,00,BS MGT,  918 974 1369
291,name292,lastname292,Female,1,25,99,BS CTM,  917 878 8313
292,name293,lastname293,Male,3,1,99,BS ME,  927 608 4808
293,name294,lastname294,Male,1,14,98,BS LM,918 983 8521
294,name295,lastname295,Male,11,19,99,BS ITE,  918 345 5057
295,name296,lastname296,Male,4,26,99,BS MGT,  927 416 2499
296,name297,lastname297,Female,11,10,00,BS LM,917 620 1837
297,name298,lastname298,Female,1,8,99,BS MGT,927 291 3676
298,name299,lastname299,Male,2,18,98,BS MGT,  927 348 6668
299,name300,lastname300,Male,5,22,97,BS CTM,  918 815 5153
300,name301,lastname301,Female,4,27,99,BS LM,  927 285 5378
301,name302,lastname302,Female,5,1,01,BS LM,  918 511 3241
302,name303,lastname303,Male,12,18,97,BS LM,917 739 1115
303,name304,lastname304,Male,9,18,00,BS CTM,  918 533 7507
304,name305,lastname305,Male,1,15,97,BS MGT,  917 641 8911
305,name306,lastname306,Female,3,3,98,BS LM,  917 155 3009
306,name307,lastname307,Male,2,12,00,BS ITE,918 386 6738
307,name308,lastname308,Male,12,13,98,BS CTM,927 827 6122
308,name309,lastname309,Male,11,8,98,BS MGT,  917 132 5014
309,name310,lastname310,Male,8,21,98,BS ITE,  918 225 1879
310,name311,lastname311,Male,6,23,98,BS ME,  918 704 4147
311,name312,lastname312,Female,5,16,99,BS ME,918 284 8832
312,name313,lastname313,Female,8,8,97,BS ITE,917 379 9404
313,name314,lastname314,Male,7,19,98,BS MGT,918 131 5008
314,name315,lastname315,Female,12,19,98,BS LM,917 656 2606
315,name316,lastname316,Male,4,14,01,BS CTM,927 212 2224
316,name317,lastname317,Male,9,16,97,BS ME,918 458 4727
317,name318,lastname318,Male,3,5,99,BS CTM,  917 462 5719
318,name319,lastname319,Male,8,10,00,BS ME,927 239 1604
319,name320,lastname320,Male,7,21,97,BS MGT,  917 854 8646
320,name321,lastname321,Female,8,26,97,BS CTM,  927 414 7766
321,name322,lastname322,Female,6,14,99,BS LM,  918 600 7855
322,name323,lastname323,Male,6,8,98,BS MGT,917 308 8490
323,name324,lastname324,Male,7,21,98,BS ME,  918 788 7131
324,name325,lastname325,Female,3,24,98,BS ME,917 557 5935
325,name326,lastname326,Female,2,24,00,BS CTM,  918 561 3677
326,name327,lastname327,Male,7,16,97,BS ITE,  917 604 7756
327,name328,lastname328,Female,6,1,99,BS ITE,917 992 5461
328,name329,lastname329,Female,12,5,97,BS ITE,918 451 8833
329,name330,lastname330,Male,7,3,98,BS ITE,  918 158 9284
330,name331,lastname331,Female,1,26,98,BS MGT,  927 146 5990
331,name332,lastname332,Female,4,18,99,BS LM,  918 299 4084
332,name333,lastname333,Male,6,17,00,BS CTM,927 779 3123
333,name334,lastname334,Male,1,2,98,BS LM,  927 182 1332
334,name335,lastname335,Female,5,21,99,BS CTM,  918 169 5036
335,name336,lastname336,Male,4,11,99,BS ITE,918 152 3167
336,name337,lastname337,Male,12,8,98,BS MGT,927 503 8110
337,name338,lastname338,Male,9,20,01,BS CTM,927 746 2862
338,name339,lastname339,Female,4,22,00,BS ITE,918 233 2323
339,name340,lastname340,Female,6,4,99,BS LM,  917 685 3086
340,name341,lastname341,Female,8,22,99,BS MGT,  917 949 6688
341,name342,lastname342,Male,7,2,99,BS MGT,  917 306 7389
342,name343,lastname343,Male,12,18,98,BS LM,  917 431 1238
343,name344,lastname344,Male,7,13,00,BS ITE,918 185 7288
344,name345,lastname345,Male,4,19,99,BS ITE,  918 269 8208
345,name346,lastname346,Female,7,19,00,BS ITE,  917 816 8886
346,name347,lastname347,Male,3,21,98,BS ITE,  918 386 4602
347,name348,lastname348,Female,1,13,97,BS ITE,  917 728 4754
348,name349,lastname349,Female,2,18,99,BS ME,  918 636 8281
349,name350,lastname350,Male,9,17,97,BS ME,  917 301 6396
350,name351,lastname351,Female,12,21,97,BS LM,  917 683 8576
351,name352,lastname352,Male,2,28,97,BS MGT,917 897 3550
352,name353,lastname353,Female,6,11,01,BS CTM,927 205 9262
353,name354,lastname354,Female,2,16,97,BS ITE,918 120 1113
354,name355,lastname355,Female,4,1,99,BS CTM,  927 831 9943
355,name356,lastname356,Male,7,26,01,BS MGT,  918 111 2365
356,name357,lastname357,Male,8,5,97,BS CTM,  927 733 6775
357,name358,lastname358,Female,8,17,99,BS ITE,  917 354 8160
358,name359,lastname359,Female,12,18,00,BS MGT,927 612 3910
359,name360,lastname360,Male,5,11,99,BS MGT,927 228 4106
360,name361,lastname361,Male,2,9,01,BS LM,  918 211 1764
361,name362,lastname362,Male,9,27,01,BS ME,917 340 3848
362,name363,lastname363,Male,10,21,97,BS MGT,927 317 3533
363,name364,lastname364,Female,1,8,97,BS MGT,927 592 8138
364,name365,lastname365,Female,7,6,99,BS ME,917 102 3528
365,name366,lastname366,Male,11,13,97,BS ITE,  918 384 3861
366,name367,lastname367,Male,5,15,98,BS ITE,  917 277 1823
367,name368,lastname368,Male,6,22,00,BS ITE,  927 594 7966
368,name369,lastname369,Male,3,1,00,BS ME,927 195 7539
369,name370,lastname370,Female,9,3,01,BS ITE,  927 126 8314
370,name371,lastname371,Female,1,26,98,BS LM,927 788 6832
371,name372,lastname372,Female,8,25,97,BS CTM,917 768 3190
372,name373,lastname373,Male,4,4,98,BS CTM,  927 499 8056
373,name374,lastname374,Male,3,6,98,BS CTM,917 196 2990
374,name375,lastname375,Male,8,21,99,BS ITE,918 187 3716
375,name376,lastname376,Male,4,24,98,BS ME,917 691 7182
376,name377,lastname377,Female,2,9,98,BS ITE,927 256 3795
377,name378,lastname378,Male,12,5,99,BS CTM,927 176 7320
378,name379,lastname379,Male,1,26,97,BS CTM,927 360 1774
379,name380,lastname380,Female,3,12,98,BS MGT,  927 990 1362
380,name381,lastname381,Female,11,21,98,BS MGT,  918 334 8614
381,name382,lastname382,Female,6,14,99,BS ITE,  917 688 8237
382,name383,lastname383,Female,7,27,99,BS ME,  927 547 7228
383,name384,lastname384,Male,2,6,97,BS LM,927 731 1675
384,name385,lastname385,Male,9,18,98,BS LM,918 389 8961
385,name386,lastname386,Female,10,6,99,BS ME,  927 568 4260
386,name387,lastname387,Female,6,16,99,BS MGT,  927 477 1635
387,name388,lastname388,Female,1,2,00,BS ITE,  917 261 6867
388,name389,lastname389,Female,9,24,99,BS CTM,  927 508 2670
389,name390,lastname390,Male,1,21,00,BS ME,917 293 6725
390,name391,lastname391,Female,12,16,00,BS MGT,  927 487 4223
391,name392,lastname392,Male,8,2,99,BS ITE,  917 763 4974
392,name393,lastname393,Female,6,28,98,BS LM,  917 793 6625
393,name394,lastname394,Female,6,13,99,BS ITE,  927 552 3618
394,name395,lastname395,Male,1,23,01,BS MGT,  917 187 1504
395,name396,lastname396,Female,9,19,99,BS LM,917 655 6808
396,name397,lastname397,Male,1,8,99,BS ME,  918 441 4937
397,name398,lastname398,Male,9,2,99,BS LM,  917 807 2225
398,name399,lastname399,Male,8,25,01,BS MGT,927 589 3638
399,name400,lastname400,Female,2,9,99,BS MGT,917 785 6859
400,name401,lastname401,Female,10,3,98,BS MGT,  918 593 5046
401,name402,lastname402,Male,3,4,01,BS ITE,918 486 8396
402,name403,lastname403,Female,6,20,98,BS ITE,917 281 9618
403,name404,lastname404,Male,5,23,97,BS CTM,  917 621 8869
404,name405,lastname405,Male,11,4,99,BS ME,  927 924 6856
405,name406,lastname406,Female,12,11,98,BS ME,918 184 7364
406,name407,lastname407,Male,5,17,98,BS MGT,927 794 4417
407,name408,lastname408,Female,7,17,01,BS MGT,927 472 7168
408,name409,lastname409,Female,8,1,97,BS ME,  918 483 2009
409,name410,lastname410,Male,8,22,97,BS CTM,917 347 8315
410,name411,lastname411,Male,2,20,98,BS ITE,  917 881 3071
411,name412,lastname412,Female,2,10,99,BS MGT,  917 681 7070
412,name413,lastname413,Male,5,9,97,BS ME,917 277 3163
413,name414,lastname414,Male,6,5,01,BS ITE,  917 367 2247
414,name415,lastname415,Female,11,15,99,BS ITE,927 996 8602
415,name416,lastname416,Female,5,25,98,BS CTM,  917 211 3821
416,name417,lastname417,Male,6,12,97,BS ME,927 137 5483
417,name418,lastname418,Female,2,22,98,BS ITE,  927 146 1580
418,name419,lastname419,Male,2,14,99,BS MGT,  917 686 4318
419,name420,lastname420,Female,5,7,99,BS MGT,918 870 7055
420,name421,lastname421,Female,6,27,01,BS CTM,917 306 8677
421,name422,lastname422,Male,7,3,97,BS CTM,  927 364 8721
422,name423,lastname423,Male,9,14,00,BS MGT,  917 520 5319
423,name424,lastname424,Female,4,6,98,BS MGT,918 812 6741
424,name425,lastname425,Male,4,14,99,BS MGT,918 784 4632
425,name426,lastname426,Female,3,15,00,BS ME,  927 103 8881
426,name427,lastname427,Male,11,13,97,BS MGT,  927 869 8588
427,name428,lastname428,Male,4,19,98,BS CTM,  918 373 8418
428,name429,lastname429,Female,11,10,01,BS CTM,  918 313 7865
429,name430,lastname430,Female,2,5,01,BS CTM,  927 804 2579
430,name431,lastname431,Female,6,5,98,BS ME,  917 648 3069
431,name432,lastname432,Female,3,27,01,BS CTM,  927 329 1747
432,name433,lastname433,Male,11,17,97,BS MGT,  927 297 9518
